trip_id,route_id,便番号,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accesible,jp_trip_desc,標準地域コード
38,6,2,1,第2便,神明苑,0,,30,,,http://statdb.nstac.go.jp/lod/sac/C18207
39,6,3,2,第3便,神明駅,0,,31,,,http://statdb.nstac.go.jp/lod/sac/C18207
40,6,4,1,第4便,神明苑,1,,32,,,http://statdb.nstac.go.jp/lod/sac/C18207
41,6,5,2,第5便,神明駅,1,,33,,,http://statdb.nstac.go.jp/lod/sac/C18207
42,7,1,2,第1便,神明苑,0,,34,,,http://statdb.nstac.go.jp/lod/sac/C18207
43,7,2,1,第2便,神明苑,0,,34,,,http://statdb.nstac.go.jp/lod/sac/C18207
44,7,3,2,第3便,神明苑,0,,35,,,http://statdb.nstac.go.jp/lod/sac/C18207
45,7,4,2,第4便,神明苑,0,,35,,,http://statdb.nstac.go.jp/lod/sac/C18207
46,7,5,1,第5便,神明苑,0,,35,,,http://statdb.nstac.go.jp/lod/sac/C18207
47,7,6,2,第6便,神明苑,0,,34,,,http://statdb.nstac.go.jp/lod/sac/C18207
48,8,1,2,第1便,JR鯖江駅,0,,36,,,http://statdb.nstac.go.jp/lod/sac/C18207
49,8,2,1,第2便,JR鯖江駅,1,,37,,,http://statdb.nstac.go.jp/lod/sac/C18207
50,8,3,2,第3便,JR鯖江駅,1,,37,,,http://statdb.nstac.go.jp/lod/sac/C18207
51,8,4,1,第4便,JR鯖江駅,0,,36,,,http://statdb.nstac.go.jp/lod/sac/C18207
52,8,5,2,第5便,JR鯖江駅,1,,38,,,http://statdb.nstac.go.jp/lod/sac/C18207
53,9,1,3,第1便,JR鯖江駅,1,,39,,,http://statdb.nstac.go.jp/lod/sac/C18207
54,9,1,4,第1便,JR鯖江駅,1,,40,,,http://statdb.nstac.go.jp/lod/sac/C18207
55,9,2,2,第2便,上戸口北,1,,41,,,http://statdb.nstac.go.jp/lod/sac/C18207
56,9,3,3,第3便,嚮陽会館内,1,,41,,,http://statdb.nstac.go.jp/lod/sac/C18207
57,9,3,4,第3便,上戸口北,1,,42,,,http://statdb.nstac.go.jp/lod/sac/C18207
58,9,4,1,第4便,上戸口北,1,,41,,,http://statdb.nstac.go.jp/lod/sac/C18207
59,9,5,2,第5便,嚮陽会館内,1,,43,,,http://statdb.nstac.go.jp/lod/sac/C18207
60,10,1,2,第1便,嚮陽会館内,1,,44,,,http://statdb.nstac.go.jp/lod/sac/C18207
61,10,2,5,第2便,嚮陽会館内,1,,45,,,http://statdb.nstac.go.jp/lod/sac/C18207
62,10,2,6,第2便,嚮陽会館内,1,,46,,,http://statdb.nstac.go.jp/lod/sac/C18207
63,10,3,3,第3便,嚮陽会館内,1,,45,,,http://statdb.nstac.go.jp/lod/sac/C18207
64,10,3,4,第3便,嚮陽会館内,1,,46,,,http://statdb.nstac.go.jp/lod/sac/C18207
65,10,4,2,第4便,JR鯖江駅,1,,47,,,http://statdb.nstac.go.jp/lod/sac/C18207
66,10,5,1,第5便,嚮陽会館内,1,,45,,,http://statdb.nstac.go.jp/lod/sac/C18207
67,10,6,2,第6便,嚮陽会館内,1,,45,,,http://statdb.nstac.go.jp/lod/sac/C18207
68,10,7,2,第7便,鉱泉前,0,,48,,,http://statdb.nstac.go.jp/lod/sac/C18207
69,11,1,7,第1便,丹南高校,0,,49,,,http://statdb.nstac.go.jp/lod/sac/C18207
70,11,2,7,第2便,福井高専,0,,50,,,http://statdb.nstac.go.jp/lod/sac/C18207
71,11,3,7,第3便,JR鯖江駅,1,,51,,,http://statdb.nstac.go.jp/lod/sac/C18207
72,12,1,7,第1便,神明駅,1,,52,,,http://statdb.nstac.go.jp/lod/sac/C18207
73,12,2,7,第2便,中戸口,0,,53,,,http://statdb.nstac.go.jp/lod/sac/C18207
74,13,1,7,第1便,神明駅,1,,54,,,http://statdb.nstac.go.jp/lod/sac/C18207
75,13,2,7,第2便,石田中,0,,55,,,http://statdb.nstac.go.jp/lod/sac/C18207
76,14,1,7,第1便,神明駅,1,,56,,,http://statdb.nstac.go.jp/lod/sac/C18207
77,14,2,7,第2便,石田中,0,,57,,,http://statdb.nstac.go.jp/lod/sac/C18207
78,15,1,7,第1便,JR鯖江駅,1,,58,,,http://statdb.nstac.go.jp/lod/sac/C18207
79,15,2,7,第2便,冬島,0,,59,,,http://statdb.nstac.go.jp/lod/sac/C18207
80,16,1,7,第1便,JR鯖江駅,1,,60,,,http://statdb.nstac.go.jp/lod/sac/C18207
81,16,2,7,第2便,上戸口北,0,,61,,,http://statdb.nstac.go.jp/lod/sac/C18207
82,17,1,7,第1便,嚮陽会館,1,,62,,,http://statdb.nstac.go.jp/lod/sac/C18207
83,17,2,7,第2便,鉱泉前,0,,63,,,http://statdb.nstac.go.jp/lod/sac/C18207
84,11,1,8,第1便,丹南高校,0,,49,,通学便運休期間中の丹南高校開講日,http://statdb.nstac.go.jp/lod/sac/C18207
85,11,3,8,第3便,JR鯖江駅,1,,51,,通学便運休期間中の丹南高校開講日,http://statdb.nstac.go.jp/lod/sac/C18207
86,11,2,9,第2便,福井高専,0,,50,,通学便運休期間中の福井高専開講日,http://statdb.nstac.go.jp/lod/sac/C18207
87,11,3,9,第3便,JR鯖江駅,1,,51,,通学便運休期間中の福井高専開講日,http://statdb.nstac.go.jp/lod/sac/C18207
